PDB,CHAIN,ACCESSION,EC_NUMBER
13od,A,P0DTD1,3.1.13.-
13od,A,P0DTD1,3.4.19.12
13od,A,P0DTD1,3.4.22.-
13od,A,P0DTD1,3.4.22.69
13od,A,P0DTD1,3.6.4.12
13od,A,P0DTD1,3.6.4.13
13od,A,P0DTD1,4.6.1.-
13oe,A,P0DTD1,2.1.1.56
13oe,A,P0DTD1,2.1.1.57
13oe,A,P0DTD1,2.7.7.48
13oe,A,P0DTD1,2.7.7.50
13oe,A,P0DTD1,3.1.13.-
13oe,A,P0DTD1,3.4.19.12
13oe,A,P0DTD1,3.4.22.-
13oe,A,P0DTD1,3.4.22.69
13oe,A,P0DTD1,3.6.4.12
13oe,A,P0DTD1,3.6.4.13
13oe,A,P0DTD1,4.6.1.-
13of,A,P0DTD1,2.1.1.56
13of,A,P0DTD1,2.1.1.57
13of,A,P0DTD1,2.7.7.48
13of,A,P0DTD1,2.7.7.50
13of,A,P0DTD1,3.1.13.-
13of,A,P0DTD1,3.4.19.12
13of,A,P0DTD1,3.4.22.-
13of,A,P0DTD1,3.4.22.69
13of,A,P0DTD1,3.6.4.12
13of,A,P0DTD1,3.6.4.13
13of,A,P0DTD1,4.6.1.-
13og,A,P0DTD1,2.1.1.56
13og,A,P0DTD1,2.1.1.57
13og,A,P0DTD1,2.7.7.48
13og,A,P0DTD1,2.7.7.50
13og,A,P0DTD1,3.1.13.-
13og,A,P0DTD1,3.4.19.12
13og,A,P0DTD1,3.4.22.-
13og,A,P0DTD1,3.4.22.69
13og,A,P0DTD1,3.6.4.12
13og,A,P0DTD1,3.6.4.13
13og,A,P0DTD1,4.6.1.-
13oh,A,P0DTD1,2.1.1.56
13oh,A,P0DTD1,2.1.1.57
13oh,A,P0DTD1,2.7.7.48
13oh,A,P0DTD1,2.7.7.50
13oh,A,P0DTD1,3.1.13.-
13oh,A,P0DTD1,3.4.19.12
13oh,A,P0DTD1,3.4.22.-
13oh,A,P0DTD1,3.4.22.69
13oh,A,P0DTD1,3.6.4.12
13oh,A,P0DTD1,3.6.4.13
13oh,A,P0DTD1,4.6.1.-
13oi,A,P0DTD1,2.1.1.56
13oi,A,P0DTD1,2.1.1.57
13oi,A,P0DTD1,2.7.7.48
13oi,A,P0DTD1,2.7.7.50
13oi,A,P0DTD1,3.1.13.-
13oi,A,P0DTD1,3.4.19.12
13oi,A,P0DTD1,3.4.22.-
13oi,A,P0DTD1,3.4.22.69
13oi,A,P0DTD1,3.6.4.12
13oi,A,P0DTD1,3.6.4.13
13oi,A,P0DTD1,4.6.1.-
13oj,A,P0DTD1,2.1.1.56
13oj,A,P0DTD1,2.1.1.57
13oj,A,P0DTD1,2.7.7.48
13oj,A,P0DTD1,2.7.7.50
13oj,A,P0DTD1,3.1.13.-
13oj,A,P0DTD1,3.4.19.12
13oj,A,P0DTD1,3.4.22.-
13oj,A,P0DTD1,3.4.22.69
13oj,A,P0DTD1,3.6.4.12
13oj,A,P0DTD1,3.6.4.13
13oj,A,P0DTD1,4.6.1.-
13ok,A,P0DTD1,2.1.1.56
13ok,A,P0DTD1,2.1.1.57
13ok,A,P0DTD1,2.7.7.48
13ok,A,P0DTD1,2.7.7.50
13ok,A,P0DTD1,3.1.13.-
13ok,A,P0DTD1,3.4.19.12
13ok,A,P0DTD1,3.4.22.-
13ok,A,P0DTD1,3.4.22.69
13ok,A,P0DTD1,3.6.4.12
13ok,A,P0DTD1,3.6.4.13
13ok,A,P0DTD1,4.6.1.-
13ol,A,P0DTD1,2.1.1.56
13ol,A,P0DTD1,2.1.1.57
13ol,A,P0DTD1,2.7.7.48
13ol,A,P0DTD1,2.7.7.50
13ol,A,P0DTD1,3.1.13.-
13ol,A,P0DTD1,3.4.19.12
13ol,A,P0DTD1,3.4.22.-
13ol,A,P0DTD1,3.4.22.69
13ol,A,P0DTD1,3.6.4.12
13ol,A,P0DTD1,3.6.4.13
13ol,A,P0DTD1,4.6.1.-
13om,A,P0DTD1,2.1.1.56
13om,A,P0DTD1,2.1.1.57
13om,A,P0DTD1,2.7.7.48
13om,A,P0DTD1,2.7.7.50
13om,A,P0DTD1,3.1.13.-
13om,A,P0DTD1,3.4.19.12
13om,A,P0DTD1,3.4.22.-
13om,A,P0DTD1,3.4.22.69
13om,A,P0DTD1,3.6.4.12
13om,A,P0DTD1,3.6.4.13
13om,A,P0DTD1,4.6.1.-
13on,A,P0DTD1,2.1.1.56
13on,A,P0DTD1,2.1.1.57
13on,A,P0DTD1,2.7.7.48
13on,A,P0DTD1,2.7.7.50
13on,A,P0DTD1,3.1.13.-
13on,A,P0DTD1,3.4.19.12
13on,A,P0DTD1,3.4.22.-
13on,A,P0DTD1,3.4.22.69
13on,A,P0DTD1,3.6.4.12
13on,A,P0DTD1,3.6.4.13
13on,A,P0DTD1,4.6.1.-
13oo,A,P0DTD1,2.1.1.56
13oo,A,P0DTD1,2.1.1.57
13oo,A,P0DTD1,2.7.7.48
13oo,A,P0DTD1,2.7.7.50
13oo,A,P0DTD1,3.1.13.-
13oo,A,P0DTD1,3.4.19.12
13oo,A,P0DTD1,3.4.22.-
13oo,A,P0DTD1,3.4.22.69
13oo,A,P0DTD1,3.6.4.12
13oo,A,P0DTD1,3.6.4.13
13oo,A,P0DTD1,4.6.1.-
13op,A,P0DTD1,2.1.1.56
13op,A,P0DTD1,2.1.1.57
13op,A,P0DTD1,2.7.7.48
13op,A,P0DTD1,2.7.7.50
13op,A,P0DTD1,3.1.13.-
13op,A,P0DTD1,3.4.19.12
13op,A,P0DTD1,3.4.22.-
13op,A,P0DTD1,3.4.22.69
13op,A,P0DTD1,3.6.4.12
13op,A,P0DTD1,3.6.4.13
13op,A,P0DTD1,4.6.1.-
13oq,A,P0DTD1,2.1.1.56
13oq,A,P0DTD1,2.1.1.57
13oq,A,P0DTD1,2.7.7.48
13oq,A,P0DTD1,2.7.7.50
13oq,A,P0DTD1,3.1.13.-
13oq,A,P0DTD1,3.4.19.12
13oq,A,P0DTD1,3.4.22.-
13oq,A,P0DTD1,3.4.22.69
13oq,A,P0DTD1,3.6.4.12
13oq,A,P0DTD1,3.6.4.13
13oq,A,P0DTD1,4.6.1.-
13or,A,P0DTD1,2.1.1.56
13or,A,P0DTD1,2.1.1.57
13or,A,P0DTD1,2.7.7.48
13or,A,P0DTD1,2.7.7.50
13or,A,P0DTD1,3.1.13.-
13or,A,P0DTD1,3.4.19.12
13or,A,P0DTD1,3.4.22.-
13or,A,P0DTD1,3.4.22.69
13or,A,P0DTD1,3.6.4.12
13or,A,P0DTD1,3.6.4.13
13or,A,P0DTD1,4.6.1.-
13os,A,P0DTD1,2.1.1.56
13os,A,P0DTD1,2.1.1.57
13os,A,P0DTD1,2.7.7.48
13os,A,P0DTD1,2.7.7.50
13os,A,P0DTD1,3.1.13.-
13os,A,P0DTD1,3.4.19.12
13os,A,P0DTD1,3.4.22.-
13os,A,P0DTD1,3.4.22.69
13os,A,P0DTD1,3.6.4.12
13os,A,P0DTD1,3.6.4.13
13os,A,P0DTD1,4.6.1.-
13ot,A,P0DTD1,2.1.1.56
13ot,A,P0DTD1,2.1.1.57
13ot,A,P0DTD1,2.7.7.48
13ot,A,P0DTD1,2.7.7.50
13ot,A,P0DTD1,3.1.13.-
13ot,A,P0DTD1,3.4.19.12
13ot,A,P0DTD1,3.4.22.-
13ot,A,P0DTD1,3.4.22.69
13ot,A,P0DTD1,3.6.4.12
13ot,A,P0DTD1,3.6.4.13
13ot,A,P0DTD1,4.6.1.-
13ou,A,P0DTD1,2.1.1.56
13ou,A,P0DTD1,2.1.1.57
13ou,A,P0DTD1,2.7.7.48
13ou,A,P0DTD1,2.7.7.50
13ou,A,P0DTD1,3.1.13.-
13ou,A,P0DTD1,3.4.19.12
13ou,A,P0DTD1,3.4.22.-
13ou,A,P0DTD1,3.4.22.69
13ou,A,P0DTD1,3.6.4.12
13ou,A,P0DTD1,3.6.4.13
13ou,A,P0DTD1,4.6.1.-
13ov,A,P0DTD1,2.1.1.56
13ov,A,P0DTD1,2.1.1.57
13ov,A,P0DTD1,2.7.7.48
13ov,A,P0DTD1,2.7.7.50
13ov,A,P0DTD1,3.1.13.-
13ov,A,P0DTD1,3.4.19.12
13ov,A,P0DTD1,3.4.22.-
13ov,A,P0DTD1,3.4.22.69
13ov,A,P0DTD1,3.6.4.12
13ov,A,P0DTD1,3.6.4.13
13ov,A,P0DTD1,4.6.1.-
13ow,A,P0DTD1,2.1.1.56
13ow,A,P0DTD1,2.1.1.57
13ow,A,P0DTD1,2.7.7.48
13ow,A,P0DTD1,2.7.7.50
13ow,A,P0DTD1,3.1.13.-
13ow,A,P0DTD1,3.4.19.12
13ow,A,P0DTD1,3.4.22.-
13ow,A,P0DTD1,3.4.22.69
13ow,A,P0DTD1,3.6.4.12
13ow,A,P0DTD1,3.6.4.13
13ow,A,P0DTD1,4.6.1.-
13ox,A,P0DTD1,2.1.1.56
13ox,A,P0DTD1,2.1.1.57
13ox,A,P0DTD1,2.7.7.48
13ox,A,P0DTD1,2.7.7.50
13ox,A,P0DTD1,3.1.13.-
13ox,A,P0DTD1,3.4.19.12
13ox,A,P0DTD1,3.4.22.-
13ox,A,P0DTD1,3.4.22.69
13ox,A,P0DTD1,3.6.4.12
13ox,A,P0DTD1,3.6.4.13
13ox,A,P0DTD1,4.6.1.-
13oy,A,P0DTD1,2.1.1.56
13oy,A,P0DTD1,2.1.1.57
13oy,A,P0DTD1,2.7.7.48
13oy,A,P0DTD1,2.7.7.50
13oy,A,P0DTD1,3.1.13.-
13oy,A,P0DTD1,3.4.19.12
13oy,A,P0DTD1,3.4.22.-
13oy,A,P0DTD1,3.4.22.69
13oy,A,P0DTD1,3.6.4.12
13oy,A,P0DTD1,3.6.4.13
13oy,A,P0DTD1,4.6.1.-
13oz,A,P0DTD1,2.1.1.56
13oz,A,P0DTD1,2.1.1.57
13oz,A,P0DTD1,2.7.7.48
13oz,A,P0DTD1,2.7.7.50
13oz,A,P0DTD1,3.1.13.-
13oz,A,P0DTD1,3.4.19.12
13oz,A,P0DTD1,3.4.22.-
13oz,A,P0DTD1,3.4.22.69
13oz,A,P0DTD1,3.6.4.12
13oz,A,P0DTD1,3.6.4.13
13oz,A,P0DTD1,4.6.1.-
13pa,A,P0DTD1,2.1.1.56
13pa,A,P0DTD1,2.1.1.57
13pa,A,P0DTD1,2.7.7.48
13pa,A,P0DTD1,2.7.7.50
13pa,A,P0DTD1,3.1.13.-
13pa,A,P0DTD1,3.4.19.12
13pa,A,P0DTD1,3.4.22.-
13pa,A,P0DTD1,3.4.22.69
13pa,A,P0DTD1,3.6.4.12
13pa,A,P0DTD1,3.6.4.13
13pa,A,P0DTD1,4.6.1.-
13pb,A,P0DTD1,2.1.1.56
13pb,A,P0DTD1,2.1.1.57
13pb,A,P0DTD1,2.7.7.48
13pb,A,P0DTD1,2.7.7.50
13pb,A,P0DTD1,3.1.13.-
13pb,A,P0DTD1,3.4.19.12
13pb,A,P0DTD1,3.4.22.-
13pb,A,P0DTD1,3.4.22.69
13pb,A,P0DTD1,3.6.4.12
13pb,A,P0DTD1,3.6.4.13
13pb,A,P0DTD1,4.6.1.-
13pc,A,P0DTD1,2.1.1.56
13pc,A,P0DTD1,2.1.1.57
13pc,A,P0DTD1,2.7.7.48
13pc,A,P0DTD1,2.7.7.50
13pc,A,P0DTD1,3.1.13.-
13pc,A,P0DTD1,3.4.19.12
13pc,A,P0DTD1,3.4.22.-
13pc,A,P0DTD1,3.4.22.69
13pc,A,P0DTD1,3.6.4.12
13pc,A,P0DTD1,3.6.4.13
13pc,A,P0DTD1,4.6.1.-
13pd,A,P0DTD1,2.1.1.56
13pd,A,P0DTD1,2.1.1.57
13pd,A,P0DTD1,2.7.7.48
13pd,A,P0DTD1,2.7.7.50
13pd,A,P0DTD1,3.1.13.-
13pd,A,P0DTD1,3.4.19.12
13pd,A,P0DTD1,3.4.22.-
13pd,A,P0DTD1,3.4.22.69
13pd,A,P0DTD1,3.6.4.12
13pd,A,P0DTD1,3.6.4.13
13pd,A,P0DTD1,4.6.1.-
13pe,A,P0DTD1,2.1.1.56
13pe,A,P0DTD1,2.1.1.57
13pe,A,P0DTD1,2.7.7.48
13pe,A,P0DTD1,2.7.7.50
13pe,A,P0DTD1,3.1.13.-
13pe,A,P0DTD1,3.4.19.12
13pe,A,P0DTD1,3.4.22.-
13pe,A,P0DTD1,3.4.22.69
13pe,A,P0DTD1,3.6.4.12
13pe,A,P0DTD1,3.6.4.13
13pe,A,P0DTD1,4.6.1.-
13pf,A,P0DTD1,2.1.1.56
13pf,A,P0DTD1,2.1.1.57
13pf,A,P0DTD1,2.7.7.48
13pf,A,P0DTD1,2.7.7.50
13pf,A,P0DTD1,3.1.13.-
13pf,A,P0DTD1,3.4.19.12
13pf,A,P0DTD1,3.4.22.-
13pf,A,P0DTD1,3.4.22.69
13pf,A,P0DTD1,3.6.4.12
13pf,A,P0DTD1,3.6.4.13
13pf,A,P0DTD1,4.6.1.-
13pg,A,P0DTD1,2.1.1.56
13pg,A,P0DTD1,2.1.1.57
13pg,A,P0DTD1,2.7.7.48
13pg,A,P0DTD1,2.7.7.50
13pg,A,P0DTD1,3.1.13.-
13pg,A,P0DTD1,3.4.19.12
13pg,A,P0DTD1,3.4.22.-
13pg,A,P0DTD1,3.4.22.69
13pg,A,P0DTD1,3.6.4.12
13pg,A,P0DTD1,3.6.4.13
13pg,A,P0DTD1,4.6.1.-
13ph,A,P0DTD1,2.1.1.56
13ph,A,P0DTD1,2.1.1.57
13ph,A,P0DTD1,2.7.7.48
13ph,A,P0DTD1,2.7.7.50
13ph,A,P0DTD1,3.1.13.-
13ph,A,P0DTD1,3.4.19.12
13ph,A,P0DTD1,3.4.22.-
13ph,A,P0DTD1,3.4.22.69
13ph,A,P0DTD1,3.6.4.12
13ph,A,P0DTD1,3.6.4.13
13ph,A,P0DTD1,4.6.1.-
13pi,A,P0DTD1,2.1.1.56
13pi,A,P0DTD1,2.1.1.57
13pi,A,P0DTD1,2.7.7.48
13pi,A,P0DTD1,2.7.7.50
13pi,A,P0DTD1,3.1.13.-
13pi,A,P0DTD1,3.4.19.12
13pi,A,P0DTD1,3.4.22.-
13pi,A,P0DTD1,3.4.22.69
13pi,A,P0DTD1,3.6.4.12
13pi,A,P0DTD1,3.6.4.13
13pi,A,P0DTD1,4.6.1.-
13pj,A,P0DTD1,2.1.1.56
13pj,A,P0DTD1,2.1.1.57
13pj,A,P0DTD1,2.7.7.48
13pj,A,P0DTD1,2.7.7.50
13pj,A,P0DTD1,3.1.13.-
13pj,A,P0DTD1,3.4.19.12
13pj,A,P0DTD1,3.4.22.-
13pj,A,P0DTD1,3.4.22.69
13pj,A,P0DTD1,3.6.4.12
13pj,A,P0DTD1,3.6.4.13
13pj,A,P0DTD1,4.6.1.-
13pk,A,P07378,2.7.2.3
13pk,B,P07378,2.7.2.3
13pk,C,P07378,2.7.2.3
13pk,D,P07378,2.7.2.3
13pl,A,P0DTD1,2.1.1.56
13pl,A,P0DTD1,2.1.1.57
13pl,A,P0DTD1,2.7.7.48
13pl,A,P0DTD1,2.7.7.50
13pl,A,P0DTD1,3.1.13.-
13pl,A,P0DTD1,3.4.19.12
13pl,A,P0DTD1,3.4.22.-
13pl,A,P0DTD1,3.4.22.69
13pl,A,P0DTD1,3.6.4.12
13pl,A,P0DTD1,3.6.4.13
13pl,A,P0DTD1,4.6.1.-
13pm,A,P0DTD1,2.1.1.56
13pm,A,P0DTD1,2.1.1.57
13pm,A,P0DTD1,2.7.7.48
13pm,A,P0DTD1,2.7.7.50
13pm,A,P0DTD1,3.1.13.-
13pm,A,P0DTD1,3.4.19.12
13pm,A,P0DTD1,3.4.22.-
13pm,A,P0DTD1,3.4.22.69
13pm,A,P0DTD1,3.6.4.12
13pm,A,P0DTD1,3.6.4.13
13pm,A,P0DTD1,4.6.1.-
13pn,A,P0DTD1,2.1.1.56
13pn,A,P0DTD1,2.1.1.57
13pn,A,P0DTD1,2.7.7.48
13pn,A,P0DTD1,2.7.7.50
13pn,A,P0DTD1,3.1.13.-
13pn,A,P0DTD1,3.4.19.12
13pn,A,P0DTD1,3.4.22.-
13pn,A,P0DTD1,3.4.22.69
13pn,A,P0DTD1,3.6.4.12
13pn,A,P0DTD1,3.6.4.13
13pn,A,P0DTD1,4.6.1.-
13po,A,P0DTD1,2.1.1.56
13po,A,P0DTD1,2.1.1.57
13po,A,P0DTD1,2.7.7.48
13po,A,P0DTD1,2.7.7.50
13po,A,P0DTD1,3.1.13.-
13po,A,P0DTD1,3.4.19.12
13po,A,P0DTD1,3.4.22.-
13po,A,P0DTD1,3.4.22.69
13po,A,P0DTD1,3.6.4.12
13po,A,P0DTD1,3.6.4.13
13po,A,P0DTD1,4.6.1.-
13pp,A,P0DTD1,2.1.1.56
13pp,A,P0DTD1,2.1.1.57
13pp,A,P0DTD1,2.7.7.48
13pp,A,P0DTD1,2.7.7.50
13pp,A,P0DTD1,3.1.13.-
13pp,A,P0DTD1,3.4.19.12
13pp,A,P0DTD1,3.4.22.-
13pp,A,P0DTD1,3.4.22.69
13pp,A,P0DTD1,3.6.4.12
13pp,A,P0DTD1,3.6.4.13
13pp,A,P0DTD1,4.6.1.-
13pq,A,P0DTD1,2.1.1.56
13pq,A,P0DTD1,2.1.1.57
13pq,A,P0DTD1,2.7.7.48
13pq,A,P0DTD1,2.7.7.50
13pq,A,P0DTD1,3.1.13.-
13pq,A,P0DTD1,3.4.19.12
13pq,A,P0DTD1,3.4.22.-
13pq,A,P0DTD1,3.4.22.69
13pq,A,P0DTD1,3.6.4.12
13pq,A,P0DTD1,3.6.4.13
13pq,A,P0DTD1,4.6.1.-
13pr,A,P0DTD1,2.1.1.56
13pr,A,P0DTD1,2.1.1.57
13pr,A,P0DTD1,2.7.7.48
13pr,A,P0DTD1,2.7.7.50
13pr,A,P0DTD1,3.1.13.-
13pr,A,P0DTD1,3.4.19.12
13pr,A,P0DTD1,3.4.22.-
13pr,A,P0DTD1,3.4.22.69
13pr,A,P0DTD1,3.6.4.12
13pr,A,P0DTD1,3.6.4.13
13pr,A,P0DTD1,4.6.1.-
13ps,A,P0DTD1,2.1.1.56
13ps,A,P0DTD1,2.1.1.57
13ps,A,P0DTD1,2.7.7.48
13ps,A,P0DTD1,2.7.7.50
13ps,A,P0DTD1,3.1.13.-
13ps,A,P0DTD1,3.4.19.12
13ps,A,P0DTD1,3.4.22.-
13ps,A,P0DTD1,3.4.22.69
13ps,A,P0DTD1,3.6.4.12
13ps,A,P0DTD1,3.6.4.13
13ps,A,P0DTD1,4.6.1.-
13pt,A,P0DTD1,2.1.1.56
13pt,A,P0DTD1,2.1.1.57
13pt,A,P0DTD1,2.7.7.48
13pt,A,P0DTD1,2.7.7.50
13pt,A,P0DTD1,3.1.13.-
13pt,A,P0DTD1,3.4.19.12
13pt,A,P0DTD1,3.4.22.-
13pt,A,P0DTD1,3.4.22.69
13pt,A,P0DTD1,3.6.4.12
13pt,A,P0DTD1,3.6.4.13
13pt,A,P0DTD1,4.6.1.-
13pu,A,P0DTD1,2.1.1.56
13pu,A,P0DTD1,2.1.1.57
13pu,A,P0DTD1,2.7.7.48
13pu,A,P0DTD1,2.7.7.50
13pu,A,P0DTD1,3.1.13.-
13pu,A,P0DTD1,3.4.19.12
13pu,A,P0DTD1,3.4.22.-
13pu,A,P0DTD1,3.4.22.69
13pu,A,P0DTD1,3.6.4.12
13pu,A,P0DTD1,3.6.4.13
13pu,A,P0DTD1,4.6.1.-
13pv,A,P0DTD1,2.1.1.56
13pv,A,P0DTD1,2.1.1.57
13pv,A,P0DTD1,2.7.7.48
13pv,A,P0DTD1,2.7.7.50
13pv,A,P0DTD1,3.1.13.-
13pv,A,P0DTD1,3.4.19.12
13pv,A,P0DTD1,3.4.22.-
13pv,A,P0DTD1,3.4.22.69
13pv,A,P0DTD1,3.6.4.12
13pv,A,P0DTD1,3.6.4.13
13pv,A,P0DTD1,4.6.1.-
13pw,A,P0DTD1,2.1.1.56
13pw,A,P0DTD1,2.1.1.57
13pw,A,P0DTD1,2.7.7.48
13pw,A,P0DTD1,2.7.7.50
13pw,A,P0DTD1,3.1.13.-
13pw,A,P0DTD1,3.4.19.12
13pw,A,P0DTD1,3.4.22.-
13pw,A,P0DTD1,3.4.22.69
13pw,A,P0DTD1,3.6.4.12
13pw,A,P0DTD1,3.6.4.13
13pw,A,P0DTD1,4.6.1.-
13px,A,P0DTD1,2.1.1.56
13px,A,P0DTD1,2.1.1.57
13px,A,P0DTD1,2.7.7.48
13px,A,P0DTD1,2.7.7.50
13px,A,P0DTD1,3.1.13.-
13px,A,P0DTD1,3.4.19.12
13px,A,P0DTD1,3.4.22.-
13px,A,P0DTD1,3.4.22.69
13px,A,P0DTD1,3.6.4.12
13px,A,P0DTD1,3.6.4.13
13px,A,P0DTD1,4.6.1.-
13py,A,P0DTD1,2.1.1.56
13py,A,P0DTD1,2.1.1.57
13py,A,P0DTD1,2.7.7.48
13py,A,P0DTD1,2.7.7.50
13py,A,P0DTD1,3.1.13.-
13py,A,P0DTD1,3.4.19.12
13py,A,P0DTD1,3.4.22.-
13py,A,P0DTD1,3.4.22.69
13py,A,P0DTD1,3.6.4.12
13py,A,P0DTD1,3.6.4.13
13py,A,P0DTD1,4.6.1.-
13pz,A,P0DTD1,2.1.1.56
13pz,A,P0DTD1,2.1.1.57
13pz,A,P0DTD1,2.7.7.48
13pz,A,P0DTD1,2.7.7.50
13pz,A,P0DTD1,3.1.13.-
13pz,A,P0DTD1,3.4.19.12
13pz,A,P0DTD1,3.4.22.-
13pz,A,P0DTD1,3.4.22.69
13pz,A,P0DTD1,3.6.4.12
13pz,A,P0DTD1,3.6.4.13
13pz,A,P0DTD1,4.6.1.-
13qa,A,P0DTD1,2.1.1.56
13qa,A,P0DTD1,2.1.1.57
13qa,A,P0DTD1,2.7.7.48
13qa,A,P0DTD1,2.7.7.50
13qa,A,P0DTD1,3.1.13.-
13qa,A,P0DTD1,3.4.19.12
13qa,A,P0DTD1,3.4.22.-
13qa,A,P0DTD1,3.4.22.69
13qa,A,P0DTD1,3.6.4.12
13qa,A,P0DTD1,3.6.4.13
13qa,A,P0DTD1,4.6.1.-
13qb,A,P0DTD1,2.1.1.56
13qb,A,P0DTD1,2.1.1.57
13qb,A,P0DTD1,2.7.7.48
13qb,A,P0DTD1,2.7.7.50
13qb,A,P0DTD1,3.1.13.-
13qb,A,P0DTD1,3.4.19.12
13qb,A,P0DTD1,3.4.22.-
13qb,A,P0DTD1,3.4.22.69
13qb,A,P0DTD1,3.6.4.12
13qb,A,P0DTD1,3.6.4.13
13qb,A,P0DTD1,4.6.1.-
13qc,A,P0DTD1,2.1.1.56
13qc,A,P0DTD1,2.1.1.57
13qc,A,P0DTD1,2.7.7.48
13qc,A,P0DTD1,2.7.7.50
13qc,A,P0DTD1,3.1.13.-
13qc,A,P0DTD1,3.4.19.12
13qc,A,P0DTD1,3.4.22.-
13qc,A,P0DTD1,3.4.22.69
13qc,A,P0DTD1,3.6.4.12
13qc,A,P0DTD1,3.6.4.13
13qc,A,P0DTD1,4.6.1.-
13qd,A,P0DTD1,2.1.1.56
13qd,A,P0DTD1,2.1.1.57
13qd,A,P0DTD1,2.7.7.48
13qd,A,P0DTD1,2.7.7.50
13qd,A,P0DTD1,3.1.13.-
13qd,A,P0DTD1,3.4.19.12
13qd,A,P0DTD1,3.4.22.-
13qd,A,P0DTD1,3.4.22.69
13qd,A,P0DTD1,3.6.4.12
13qd,A,P0DTD1,3.6.4.13
13qd,A,P0DTD1,4.6.1.-
13qe,A,P0DTD1,2.1.1.56
13qe,A,P0DTD1,2.1.1.57
13qe,A,P0DTD1,2.7.7.48
13qe,A,P0DTD1,2.7.7.50
13qe,A,P0DTD1,3.1.13.-
13qe,A,P0DTD1,3.4.19.12
13qe,A,P0DTD1,3.4.22.-
13qe,A,P0DTD1,3.4.22.69
13qe,A,P0DTD1,3.6.4.12
13qe,A,P0DTD1,3.6.4.13
13qe,A,P0DTD1,4.6.1.-
13qf,A,P0DTD1,2.1.1.56
13qf,A,P0DTD1,2.1.1.57
13qf,A,P0DTD1,2.7.7.48
13qf,A,P0DTD1,2.7.7.50
13qf,A,P0DTD1,3.1.13.-
13qf,A,P0DTD1,3.4.19.12
13qf,A,P0DTD1,3.4.22.-
13qf,A,P0DTD1,3.4.22.69
13qf,A,P0DTD1,3.6.4.12
13qf,A,P0DTD1,3.6.4.13
13qf,A,P0DTD1,4.6.1.-
13qg,A,P0DTD1,2.1.1.56
13qg,A,P0DTD1,2.1.1.57
13qg,A,P0DTD1,2.7.7.48
13qg,A,P0DTD1,2.7.7.50
13qg,A,P0DTD1,3.1.13.-
13qg,A,P0DTD1,3.4.19.12
13qg,A,P0DTD1,3.4.22.-
13qg,A,P0DTD1,3.4.22.69
13qg,A,P0DTD1,3.6.4.12
13qg,A,P0DTD1,3.6.4.13
13qg,A,P0DTD1,4.6.1.-
13qh,A,P0DTD1,2.1.1.56
13qh,A,P0DTD1,2.1.1.57
13qh,A,P0DTD1,2.7.7.48
13qh,A,P0DTD1,2.7.7.50
13qh,A,P0DTD1,3.1.13.-
13qh,A,P0DTD1,3.4.19.12
13qh,A,P0DTD1,3.4.22.-
13qh,A,P0DTD1,3.4.22.69
13qh,A,P0DTD1,3.6.4.12
13qh,A,P0DTD1,3.6.4.13
13qh,A,P0DTD1,4.6.1.-
13qi,A,P0DTD1,2.1.1.56
13qi,A,P0DTD1,2.1.1.57
13qi,A,P0DTD1,2.7.7.48
13qi,A,P0DTD1,2.7.7.50
13qi,A,P0DTD1,3.1.13.-
13qi,A,P0DTD1,3.4.19.12
13qi,A,P0DTD1,3.4.22.-
13qi,A,P0DTD1,3.4.22.69
13qi,A,P0DTD1,3.6.4.12
13qi,A,P0DTD1,3.6.4.13
13qi,A,P0DTD1,4.6.1.-
13qj,A,P0DTD1,2.1.1.56
13qj,A,P0DTD1,2.1.1.57
13qj,A,P0DTD1,2.7.7.48
13qj,A,P0DTD1,2.7.7.50
13qj,A,P0DTD1,3.1.13.-
13qj,A,P0DTD1,3.4.19.12
13qj,A,P0DTD1,3.4.22.-
13qj,A,P0DTD1,3.4.22.69
13qj,A,P0DTD1,3.6.4.12
13qj,A,P0DTD1,3.6.4.13
13qj,A,P0DTD1,4.6.1.-
13qk,A,P0DTD1,2.1.1.56
13qk,A,P0DTD1,2.1.1.57
13qk,A,P0DTD1,2.7.7.48
13qk,A,P0DTD1,2.7.7.50
13qk,A,P0DTD1,3.1.13.-
13qk,A,P0DTD1,3.4.19.12
13qk,A,P0DTD1,3.4.22.-
13qk,A,P0DTD1,3.4.22.69
13qk,A,P0DTD1,3.6.4.12
13qk,A,P0DTD1,3.6.4.13
13qk,A,P0DTD1,4.6.1.-
13ql,A,P0DTD1,2.1.1.56
13ql,A,P0DTD1,2.1.1.57
13ql,A,P0DTD1,2.7.7.48
13ql,A,P0DTD1,2.7.7.50
13ql,A,P0DTD1,3.1.13.-
13ql,A,P0DTD1,3.4.19.12
13ql,A,P0DTD1,3.4.22.-
13ql,A,P0DTD1,3.4.22.69
13ql,A,P0DTD1,3.6.4.12
13ql,A,P0DTD1,3.6.4.13
13ql,A,P0DTD1,4.6.1.-
13qm,A,P0DTD1,2.1.1.56
13qm,A,P0DTD1,2.1.1.57
13qm,A,P0DTD1,2.7.7.48
13qm,A,P0DTD1,2.7.7.50
13qm,A,P0DTD1,3.1.13.-
13qm,A,P0DTD1,3.4.19.12
13qm,A,P0DTD1,3.4.22.-
13qm,A,P0DTD1,3.4.22.69
13qm,A,P0DTD1,3.6.4.12
13qm,A,P0DTD1,3.6.4.13
13qm,A,P0DTD1,4.6.1.-
